State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	
9.947709e+04	1.406071e-14	1.116279e+05	2.473660e-14	1.117846e+05	2.522278e-14	1.123376e+05	2.932103e-14	1.133197e+05	1.786591e-14
9.977875e+04	1.398614e-14	1.119296e+05	2.398033e-14	1.120862e+05	2.520665e-14	1.126393e+05	2.913763e-14	1.136213e+05	1.774340e-14
1.000946e+05	1.391051e-14	1.122455e+05	2.328173e-14	1.124021e+05	2.521082e-14	1.129552e+05	2.895463e-14	1.139372e+05	1.760080e-14
1.004254e+05	1.383499e-14	1.125762e+05	2.265658e-14	1.127329e+05	2.522150e-14	1.132859e+05	2.877901e-14	1.142680e+05	1.743997e-14
1.007718e+05	1.375852e-14	1.129226e+05	2.211713e-14	1.130792e+05	2.522375e-14	1.136323e+05	2.861479e-14	1.146143e+05	1.726306e-14
1.011344e+05	1.368239e-14	1.132853e+05	2.167616e-14	1.134419e+05	2.520592e-14	1.139950e+05	2.846256e-14	1.149770e+05	1.707086e-14
1.015142e+05	1.360558e-14	1.136650e+05	2.133473e-14	1.138217e+05	2.515805e-14	1.143747e+05	2.831570e-14	1.153568e+05	1.686786e-14
1.019119e+05	1.352774e-14	1.140627e+05	2.109513e-14	1.142194e+05	2.507061e-14	1.147724e+05	2.816533e-14	1.157545e+05	1.665875e-14
1.023283e+05	1.345047e-14	1.144791e+05	2.095456e-14	1.146358e+05	2.494023e-14	1.151888e+05	2.800528e-14	1.161709e+05	1.644563e-14
1.027643e+05	1.337205e-14	1.149152e+05	2.091066e-14	1.150718e+05	2.476388e-14	1.156248e+05	2.782959e-14	1.166069e+05	1.623506e-14
1.032209e+05	1.329358e-14	1.153717e+05	2.095320e-14	1.155284e+05	2.454276e-14	1.160814e+05	2.763939e-14	1.170635e+05	1.602869e-14
1.036990e+05	1.321448e-14	1.158498e+05	2.107505e-14	1.160065e+05	2.428063e-14	1.165595e+05	2.743967e-14	1.175416e+05	1.583157e-14
1.041996e+05	1.313472e-14	1.163505e+05	2.126490e-14	1.165071e+05	2.398308e-14	1.170602e+05	2.723856e-14	1.180422e+05	1.564775e-14
